STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,AVERAGE_DAILY
52088,Kangaroo Ground PS/Graham Rd (Kangaroo Ground),-37.691419,145.214605,3.18
52029,Healesville High School/Camerons Rd (Healesville),-37.643505,145.530374,2.19
51902,Tidal Way/Saltwater Prom (Point Cook),-37.913877,144.780192,
51901,Tidal Way/Saltwater Prom (Point Cook),-37.913919,144.78002,
51900,Jansar St/Saltwater Prom (Point Cook),-37.914454,144.783985,
51899,Lyall Dr/Anne St (Werribee),-37.90793,144.644424,
51898,Glendene Ct/Lyall Dr (Werribee),-37.908766,144.640724,3.14
51897,Delmont St/Westleigh Dr (Werribee),-37.910214,144.636981,1.09
51896,70 Westleigh Dr (Werribee),-37.911354,144.63409,
51895,Beldale Ave/Westleigh Dr (Werribee),-37.913661,144.635415,4.97
51894,Princes Hwy/Westleigh Dr (Werribee),-37.915503,144.637847,37.5
51893,Dutchelm Ave/Newmarket Rd (Werribee),-37.917302,144.641759,
51892,Dutchelm Ave/Newmarket Rd (Werribee),-37.91729,144.6416,
51891,Riparian St/Newmarket Rd (Werribee),-37.918986,144.645755,
51890,Battersea St/Kinglake Dr (Manor Lakes),-37.868725,144.598613,
51888,Memory Cres/Welcome Pde (Wyndham Vale),-37.855249,144.591379,
51887,Stanmore Cres/Welcome Pde (Wyndham Vale),-37.85279,144.594039,
51886,Anniversary Ave/Stanmore Cres (Wyndham Vale),-37.850474,144.59141,
51885,Stanmore Cres/Welcome Pde (Wyndham Vale),-37.852616,144.593931,
51884,Memory Cres/Welcome Pde (Wyndham Vale),-37.854916,144.591402,
51882,Finsbury Cres/Kinglake Dr (Manor Lakes),-37.868288,144.598855,
51881,Ampelon St/Kinglake Dr (Manor Lakes),-37.871962,144.59653,
51880,Balcombe Dr/Manor Lakes Bvd (Manor Lakes),-37.875307,144.597479,2.65
51879,Manor Lakes College/Manor Lakes Bvd (Manor Lakes),-37.877167,144.602102,
51876,Lexington Dr/Westwood Dr (Burnside),-37.745047,144.749317,0.69
51875,Fydler Ave/Westwood Dr (Burnside),-37.743367,144.749561,0.38
51873,Tenterfield Dr/Westwood Dr (Burnside Heights),-37.736494,144.748759,0.36
51872,Harrison Ct/Westwood Dr (Burnside Heights),-37.734193,144.749101,0.5
51871,Inglewood Dr/Westwood Dr (Burnside Heights),-37.731166,144.749579,0.17
51870,Commercial Rd/Westwood Dr (Caroline Springs),-37.731347,144.749176,0.01
51869,Harrison Ct/Westwood Dr (Caroline Springs),-37.73368,144.749094,0.01
51868,Tenterfield Dr/Westwood Dr (Caroline Springs),-37.736213,144.748654,0.02
51866,Fydler Ave/Westwood Dr (Burnside),-37.743031,144.749446,0.38
51865,Lexington Dr/Westwood Dr (Burnside),-37.744864,144.749141,0.69
51862,Duncan Mackinnon Reserve/Murrumbeena Rd (Bentleigh East),-37.904066,145.062906,0.15
51861,Molden St/East Boundary Rd (Bentleigh East),-37.908212,145.061285,0.29
51860,Bethwyn St/East Boundary Rd (Bentleigh East),-37.911123,145.060776,0.25
51859,Shrewsbury St/East Boundary Rd (Bentleigh East),-37.913334,145.060411,0.22
51858,Glen Eira Sports and Aquatic Centre/East Boundary Rd (Bentleigh East),-37.916182,145.059904,0.52
51857,Charles St/East Boundary Rd (Bentleigh East),-37.918356,145.05946,0.13
51856,Centre Rd/East Boundary Rd (Bentleigh East),-37.920404,145.059065,22.84
51855,Centre Rd/Tucker Rd (Bentleigh),-37.92087,145.050737,0.06
51854,Lawson St/Tucker Rd (Bentleigh),-37.923494,145.050247,0.09
