Mode,Hour,Trips
Metropolitan Bus,0,16245
Metropolitan Bus,1,4829
Metropolitan Bus,2,5408
Metropolitan Bus,3,5231
Metropolitan Bus,4,6368
Metropolitan Bus,5,53627
Metropolitan Bus,6,187486
Metropolitan Bus,7,263022
Metropolitan Bus,8,269008
Metropolitan Bus,9,259647
Metropolitan Bus,10,247382
Metropolitan Bus,11,244217
Metropolitan Bus,12,241662
Metropolitan Bus,13,243184
Metropolitan Bus,14,246009
Metropolitan Bus,15,255042
Metropolitan Bus,16,282212
Metropolitan Bus,17,283726
Metropolitan Bus,18,274443
Metropolitan Bus,19,220882
Metropolitan Bus,20,173226
Metropolitan Bus,21,126004
Metropolitan Bus,22,57409
Metropolitan Bus,23,39884
Metropolitan Train,0,7783
Metropolitan Train,1,3897
Metropolitan Train,2,2542
Metropolitan Train,3,1871
Metropolitan Train,4,3349
Metropolitan Train,5,12117
Metropolitan Train,6,18755
Metropolitan Train,7,25189
Metropolitan Train,8,27484
Metropolitan Train,9,23167
Metropolitan Train,10,19034
Metropolitan Train,11,18636
Metropolitan Train,12,18548
Metropolitan Train,13,18355
Metropolitan Train,14,18592
Metropolitan Train,15,21831
Metropolitan Train,16,24829
Metropolitan Train,17,27115
Metropolitan Train,18,25088
Metropolitan Train,19,19149
Metropolitan Train,20,14327
Metropolitan Train,21,12659
Metropolitan Train,22,12029
Metropolitan Train,23,11478
Metropolitan Tram,0,43034
Metropolitan Tram,1,20896
Metropolitan Tram,2,6771
Metropolitan Tram,3,2947
Metropolitan Tram,4,2814
Metropolitan Tram,5,33542
Metropolitan Tram,6,75024
Metropolitan Tram,7,108671
Metropolitan Tram,8,117702
Metropolitan Tram,9,119192
Metropolitan Tram,10,108421
Metropolitan Tram,11,105545
Metropolitan Tram,12,105659
Metropolitan Tram,13,106905
Metropolitan Tram,14,109310
Metropolitan Tram,15,110422
Metropolitan Tram,16,120204
Metropolitan Tram,17,122204
Metropolitan Tram,18,112663
Metropolitan Tram,19,94179
Metropolitan Tram,20,77998
Metropolitan Tram,21,66731
Metropolitan Tram,22,59053
Metropolitan Tram,23,53544
