Hour,DayType,Trips
0,Weekday,67062
0,Weekend,36237
1,Weekday,29622
1,Weekend,19796
2,Weekday,14721
2,Weekend,13697
3,Weekday,10049
3,Weekend,15764
4,Weekday,12531
4,Weekend,14865
5,Weekday,99286
5,Weekend,24133
6,Weekday,281265
6,Weekend,47201
7,Weekday,396882
7,Weekend,86405
8,Weekday,414194
8,Weekend,125655
9,Weekday,402006
9,Weekend,150716
10,Weekday,374837
10,Weekend,164290
11,Weekday,368398
11,Weekend,172285
12,Weekday,365869
12,Weekend,174069
13,Weekday,368444
13,Weekend,173394
14,Weekday,373911
14,Weekend,172798
15,Weekday,387295
15,Weekend,172931
16,Weekday,427245
16,Weekend,172460
17,Weekday,433045
17,Weekend,169283
18,Weekday,412194
18,Weekend,157538
19,Weekday,334210
19,Weekend,136668
20,Weekday,265551
20,Weekend,115926
21,Weekday,205394
21,Weekend,93777
22,Weekday,128491
22,Weekend,60193
23,Weekday,104906
23,Weekend,50799
